once	pola@c
pola@c	time
time	there
there	was
was	a
a	giraffe
giraffe	mary
mary	and
and	tom
tom	elephant
elephant	one
one	day
day	they
they	meet
meet	on
on	the
the	stret
stret	street
street	mary
mary	was
was	tipping
tipping	with
with	her
her	balls
balls	and
and	the
the	tom
tom	elephant
elephant	giraffe
giraffe	said
said	hey
hey	tom
tom	how
how	are
are	you
you	he
he	said
said	hey
hey	mary
mary	good
good	you
you	marys
marys	ball
ball	fell
fell	in
in	river
river	elephant
elephant	jumped
jumped	in
in	river
river	to
to	catch
catch	a
a	ball
ball	its
its	lucky
lucky	to
to	he
he	know
know	to
to	swim
swim	he
he	get
get	out
out	from
from	the
the	water
water	and
and	said
said	here
here	you
you	go
go	mary
mary	get
get	crush
crush	on
on	him
him	and
and	him
him	in
in	her
her	so
so	they
they	got
got	married
married	and
and	have
have	baby
baby	giraffe
giraffe	and
and	elephants
elephants	and
and	they
they	lived
lived	together
together	for
for	the
the	rest
rest	of
of	their
their	lives
lives	
