one	day	tom
day	tom	and
tom	and	mary
and	mary	go
mary	go	for
go	for	a
for	a	walk
a	walk	they
walk	they	walk
they	walk	and
walk	and	walk
and	walk	him
walk	him	and
him	and	she
and	she	by
she	by	best
by	best	friend
best	friend	mary
friend	mary	is
mary	is	happy
is	happy	person
happy	person	and
person	and	she
and	she	love
she	love	play
love	play	she
play	she	play
she	play	with
play	with	tom
with	tom	+
tom	+	+,
+	+,	and
+,	and	they
and	they	play
they	play	together
play	together	with
together	with	ball
with	ball	they
ball	they	play
they	play	next
play	next	to
next	to	lake
to	lake	ball
lake	ball	fall
ball	fall	in
fall	in	lake
in	lake	tom
lake	tom	see
tom	see	that
see	that	and
that	and	him
and	him	jump
him	jump	in
jump	in	lake
in	lake	tom
lake	tom	take
tom	take	a
take	a	ball
a	ball	and
ball	and	give
and	give	mary
give	mary	but
mary	but	him
but	him	does
him	does	not
does	not	know
not	know	swim
know	swim	mary
swim	mary	say
mary	say	stand
say	stand	up
stand	up	it
up	it	is
it	is	not
is	not	deep
not	deep	tom
deep	tom	stand
tom	stand	and
stand	and	say
and	say	then
say	then	why
then	why	did
why	did	you
did	you	do
you	do	not
do	not	go
not	go	and
go	and	catch
and	catch	ball
catch	ball	she
ball	she	say
she	say	the
say	the	she
the	she	do
she	do	not
do	not	want
not	want	she
want	she	say
she	say	thank
say	thank	you
thank	you	and
you	and	she
and	she	kiss
she	kiss	him
kiss	him	they
him	they	by
they	by	loved
by	loved	two
loved	two	years
two	years	after
years	after	they
after	they	married
they	married	she
married	she	love
she	love	him
love	him	and
him	and	him
and	him	love
him	love	she
love	she	they
she	they	have
they	have	big
have	big	family
big	family	they
family	they	have
they	have	thirteen
have	thirteen	kids
thirteen	kids	ten
kids	ten	giraffes
ten	giraffes	and
giraffes	and	three
and	three	elephants
three	elephants	children
elephants	children	by
children	by	good
by	good	and
good	and	they
and	they	love
they	love	by
love	by	together
by	together	they
together	they	still
they	still	have
still	have	that
have	that	ball
that	ball	
ball		
