there	was
was	two
two	friends
friends	mary
mary	giraffe
giraffe	and
and	tom
tom	elephant
elephant	they
they	played
played	with
with	ball
ball	they
they	played
played	and
and	played
played	then
then	the
the	ball
ball	fall
fall	in
in	the
the	pool
pool	thay
thay	got
got	scared
scared	the
the	ball
ball	swim
swim	far
far	away
away	the
the	tom
tom	elephant
elephant	jumped
jumped	into
into	the
the	pool
pool	he
he	swam
swam	to
to	the
the	ball
ball	mary
mary	?
?	how
how	to
to	swim
swim	tom
tom	and
and	the
the	ball
ball	get
get	out
out	of
of	the
the	pool
pool	they
they	were
were	wet
wet	the
the	manager
manager	of
of	the
the	pool
pool	jerry
jerry	pig
pig	cow
cow	brought
brought	the
the	towel
towel	to
to	the
the	tom
tom	tom,
tom,	jerry
jerry	and
and	mary
mary	played
played	with
with	the
the	pool
pool	they
they	get
get	tired
tired	they
they	ate
ate	ice
ice	cream
cream	they
they	go
go	to
to	the
the	beach
beach	they
they	timmy
timmy	cow
cow	came
came	and
and	play
play	with
with	jerry,
jerry,	tom,
tom,	mary
mary	then
then	they
they	swam
swam	in
in	to
to	the
the	sea
sea	
