this	is
is	one
one	beautiful
beautiful	story
story	about
about	friendship
friendship	beetwen
beetwen	giraffe
giraffe	mary
mary	and
and	elephant
elephant	tom
tom	one
one	day
day	they
they	walked
walked	next
next	to
to	the
the	pool
pool	tom
tom	saw
saw	a
a	ball
ball	in
in	to
to	a
a	pool
pool	and
and	he
he	wanna
wanna	chatch
chatch	it
it	he
he	feel
feel	in
in	to
to	a
a	pool
pool	he
he	found
found	a
a	ball
ball	and
and	he
he	took
took	it
it	he
he	loved
loved	water
water	and
and	swam
swam	in
in	the
the	pool
pool	water
water	were
were	so
so	hot
hot	and
and	he
he	swam
swam	in
in	the
the	pool
pool	mary
mary	was
was	angry
angry	because
because	he
he	left
left	she
she	and
and	go
go	swim
swim	she
she	wanna
wanna	go
go	home
home	tom
tom	saw
saw	she
she	and
and	quickly
quickly	go
go	out
out	he
he	hugged
hugged	she
she	and
and	then
then	they
they	go
go	home
home	mary
mary	did
did	not
not	was
was	angry
angry	any
any	more
more	they
they	kissed
kissed	and
and	married
married	two
two	years
years	later
later	mary
mary	give
give	birth
birth	a
a	baby
baby	the
the	baby
baby	was
was	so
so	sweat
sweat	her
her	name
name	was
was	lily
lily	her
her	parents
parents	loved
loved	she
she	very
very	much
much	lily
lily	was
was	so
so	funny
funny	and
and	she
she	played
played	a
a	games
games	all
all	day
day	they
they	lived
lived	happy
happy	forever
forever	
