once	pola@c	time
pola@c	time	there
time	there	was
there	was	a
was	a	giraffe
a	giraffe	mary
giraffe	mary	and
mary	and	tom
and	tom	elephant
tom	elephant	one
elephant	one	day
one	day	they
day	they	meet
they	meet	on
meet	on	the
on	the	stret
the	stret	street
stret	street	mary
street	mary	was
mary	was	tipping
was	tipping	with
tipping	with	her
with	her	balls
her	balls	and
balls	and	the
and	the	tom
the	tom	elephant
tom	elephant	giraffe
elephant	giraffe	said
giraffe	said	hey
said	hey	tom
hey	tom	how
tom	how	are
how	are	you
are	you	he
you	he	said
he	said	hey
said	hey	mary
hey	mary	good
mary	good	you
good	you	marys
you	marys	ball
marys	ball	fell
ball	fell	in
fell	in	river
in	river	elephant
river	elephant	jumped
elephant	jumped	in
jumped	in	river
in	river	to
river	to	catch
to	catch	a
catch	a	ball
a	ball	its
ball	its	lucky
its	lucky	to
lucky	to	he
to	he	know
he	know	to
know	to	swim
to	swim	he
swim	he	get
he	get	out
get	out	from
out	from	the
from	the	wother
the	wother	and
wother	and	said
and	said	here
said	here	you
here	you	go
you	go	mary
go	mary	get
mary	get	crush
get	crush	on
crush	on	him
on	him	and
him	and	him
and	him	in
him	in	her
in	her	so
her	so	they
so	they	got
they	got	married
got	married	and
married	and	have
and	have	baby
have	baby	giraffe
baby	giraffe	and
giraffe	and	elephants
and	elephants	and
elephants	and	they
and	they	lived
they	lived	together
lived	together	for
together	for	the
for	the	rest
the	rest	of
rest	of	their
of	their	lives
their	lives	
lives		
