once	upon
upon	a
a	time
time	mary
mary	giraffe
giraffe	and
and	tom
tom	elephant
elephant	was
was	in
in	the
the	swimming
swimming	pool
pool	they
they	was
was	best
best	freinds
freinds	and
and	do
do	all
all	things
things	together
together	in
in	the
the	swimming
swimming	pool
pool	mary
mary	hils
hils	a
a	red
red	bath
bath	ball
ball	but
but	mary
mary	loose
loose	the
the	ball
ball	down
down	into
into	the
the	water
water	and
and	tom
tom	jump
jump	down
down	and
and	swim
swim	over
over	to
to	the
the	ball
ball	grabed
grabed	it
it	and
and	give
give	it
it	to
to	mary
mary	she
she	was
was	happy
happy	and
and	kissede
kissede	him
him	
